Model,Organization,Publication date,Domain,Confidence,Link,Reference,Authors,Organization categorization,Country (of organization),Notability criteria
DALL·E 3,OpenAI,2023-10-19,Image generation,confident,https://cdn.openai.com/papers/dall-e-3.pdf,Improving Image Generation with Better Captions,"James Betker, Gabriel Goh, Li Jing, Tim Brooks, Jianfeng Wang, Linjie Li, Long Ouyang, Juntang Zhuang, Joyce Lee, Yufei Guo, Wesam Manassra, Prafulla Dhariwal, Casey Chu, Yunxin Jiao, Aditya Ramesh",Industry,United States of America,SOTA improvement
ERNIE 4.0,Baidu,2023-10-17,"Multimodal,Language,Video,Image generation",confident,https://www.prnewswire.com/news-releases/baidu-launches-ernie-4-0-foundation-model-leading-a-new-wave-of-ai-native-applications-301958681.html,"Baidu Launches ERNIE 4.0 Foundation Model, Leading a New Wave of AI-Native Applications",Gemini Team,Industry,China,Significant use
RT-2-X,Google DeepMind,2023-10-13,Robotics,confident,https://arxiv.org/abs/2310.08864,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,Open X-Embodiment Collaboration,Industry,"United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational,Canada,France",SOTA improvement
Ferret (13B),"Columbia University,Apple",2023-10-11,"Multimodal,Language,Vision",confident,https://arxiv.org/abs/2310.07704,Ferret: Refer and Ground Anything Anywhere at Any Granularity,"Haoxuan You, Haotian Zhang, Zhe Gan, Xianzhi Du, Bowen Zhang, Zirui Wang, Liangliang Cao, Shih-Fu Chang, Yinfei Yang","Academia,Industry","United States of America,United States of America",SOTA improvement
FinGPT-13B,"University of California Los Angeles (UCLA),Columbia University,New York University (NYU)",2023-10-07,Language,likely,https://arxiv.org/abs/2310.04793; https://github.com/AI4Finance-Foundation/FinGPT,FinGPT: Instruction Tuning Benchmark for Open-Source Large Language Models in Financial Datasets,"Neng Wang, Hongyang Yang, Christina Dan Wang","Academia,Academia,Academia","United States of America,United States of America,United States of America",SOTA improvement
CTM (CIFAR-10),"Stanford University,Sony",2023-10-01,Image generation,confident,https://arxiv.org/abs/2310.02279v1,Consistency Trajectory Models: Learning Probability Flow ODE Trajectory of Diffusion,"Dongjun Kim, Chieh-Hsin Lai, Wei-Hsiang Liao, Naoki Murata, Yuhta Takida, Toshimitsu Uesaka, Yutong He, Yuki Mitsufuji, Stefano Ermon","Academia,Industry","United States of America,Japan",SOTA improvement
Amazon Titan,Amazon,2023-09-28,"Language,Image generation",likely,https://aws.amazon.com/bedrock/titan/,Gemini: A Family of Highly Capable Multimodal Models,Gemini Team,Industry,United States of America,Training cost
Show-1,National University of Singapore,2023-09-27,Video,confident,https://arxiv.org/abs/2309.15818,Show-1: Marrying Pixel and Latent Diffusion Models for Text-to-Video Generation,"David Junhao Zhang, Jay Zhangjie Wu, Jia-Wei Liu, Rui Zhao, Lingmin Ran, Yuchao Gu, Difei Gao, Mike Zheng Shou",Academia,Singapore,SOTA improvement
GPT-4V,OpenAI,2023-09-25,"Multimodal,Vision,Language",confident,https://cdn.openai.com/papers/GPTV_System_Card.pdf,GPT-4V(ision) system card,Gemini Team,Industry,United States of America,Significant use
AlphaMissense,Google DeepMind,2023-09-22,Biology,likely,https://www.science.org/doi/10.1126/science.adg7492,Accurate proteome-wide missense variant effect prediction with AlphaMissense,"Jun Cheng, Guido Novati, Joshua Pan, Clare Bycroft, Akvile ̇Žemgulyte ̇, Taylor Applebaum, Alexander Pritzel, Lai Hong Wong, Michal Zielinski, Tobias Sargeant, Rosalia G. Schneider,Andrew W. Senior, John Jumper, Demis Hassabis, Pushmeet Kohli,Žiga Avsec",Industry,"United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational,Canada,France",SOTA improvement
Robot Parkour,"Shanghai Qi Zhi institute,Stanford University,Carnegie Mellon University (CMU),Tsinghua University",2023-09-12,Robotics,confident,https://arxiv.org/abs/2309.05665,Robot Parkour Learning,"Ziwen Zhuang, Zipeng Fu, Jianren Wang, Christopher Atkeson, Soeren Schwertfeger, Chelsea Finn, Hang Zhao","Academia,Academia,Academia","China,United States of America,United States of America,China",SOTA improvement
Falcon-180B,Technology Innovation Institute,2023-09-06,Language,confident,https://falconllm.tii.ae/falcon-180b.html; https://arxiv.org/abs/2311.16867,The Falcon Series of Open Language Models,"Ebtesam Almazrouei, Hamza Alobeidli, Abdulaziz Alshamsi, Alessandro Cappelli, Ruxandra Cojocaru, Mérouane Debbah, Étienne Goffinet, Daniel Hesslow, Julien Launay, Quentin Malartic, Daniele Mazzotta, Badreddine Noune, Baptiste Pannier, Guilherme Penedo",Government,United Arab Emirates,Training cost
Swift,Intel Labs,2023-08-30,Robotics,likely,https://www.nature.com/articles/s41586-023-06419-4,Champion-level drone racing using deep reinforcement learning,"Elia Kaufmann, Leonard Bauersfeld, Antonio Loquercio, Matthias Müller, Vladlen Koltun, Davide Scaramuzza ",Industry,"Multinational,United States of America",SOTA improvement
Jais,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Inception",2023-08-29,Language,confident,https://arxiv.org/abs/2308.16149,Jais and Jais-chat: Arabic-Centric Foundation and Instruction-Tuned Open Generative Large Language Models,"Neha Sengupta, Sunil Kumar Sahu, Bokang Jia, Satheesh Katipomu, Haonan Li, Fajri Koto, Osama Mohammed Afzal, Samta Kamboj, Onkar Pandit, Rahul Pal, Lalit Pradhan, Zain Muhammad Mujahid, Massa Baali, Alham Fikri Aji, Zhengzhong Liu, Andy Hock, Andrew Feldman, Jonathan Lee, Andrew Jackson, Preslav Nakov, Timothy Baldwin, Eric Xing","Industry,Academia","Multinational,United Arab Emirates,United States of America",SOTA improvement
PeptideBERT,Carnegie Mellon University (CMU),2023-08-28,Biology,confident,https://arxiv.org/abs/2309.03099,PeptideBERT: A language Model based on Transformers for Peptide Property Prediction,"Chakradhar Guntuboina, Adrita Das, Parisa Mollaei, Seongwon Kim, and Amir Barati Farimani",Academia,United States of America,SOTA improvement
Qwen-VL,Alibaba,2023-08-24,"Multimodal,Language,Vision",likely,https://arxiv.org/abs/2308.12966,"Qwen-VL: A Versatile Vision-Language Model for Understanding, Localization, Text Reading, and Beyond","Jinze Bai, Shuai Bai, Shusheng Yang, Shijie Wang, Sinan Tan, Peng Wang, Junyang Lin, Chang Zhou, Jingren Zhou",Industry,China,SOTA improvement
GGNN,"Westlake University,Tsinghua University,Toyota Technological Institute at Chicago",2023-08-05,Biology,confident,https://www.nature.com/articles/s42003-023-05133-1,Integration of pre-trained protein language models into geometric deep learning networks,"Fang Wu, Lirong Wu, Dragomir Radev, Jinbo Xu and Stan Z. Li","Academia,Academia,Academia","China,China,United States of America",SOTA improvement
RT-2,Google DeepMind,2023-07-28,Robotics,confident,https://arxiv.org/abs/2307.15818,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,"Anthony Brohan, Noah Brown, Justice Carbajal, Yevgen Chebotar, Xi Chen, Krzysztof Choromanski, Tianli Ding, Danny Driess, Avinava Dubey, Chelsea Finn, Pete Florence, Chuyuan Fu, Montse Gonzalez Arenas, Keerthana Gopalakrishnan, Kehang Han, Karol Hausman, Alexander Herzog, Jasmine Hsu, Brian Ichter, Alex Irpan, Nikhil Joshi, Ryan Julian, Dmitry Kalashnikov, Yuheng Kuang, Isabel Leal, Lisa Lee, Tsang-Wei Edward Lee, Sergey Levine, Yao Lu, Henryk Michalewski, Igor Mordatch, Karl Pertsch, Kanishka Rao, Krista Reymann, Michael Ryoo, Grecia Salazar, Pannag Sanketi, Pierre Sermanet, Jaspiar Singh, Anikait Singh, Radu Soricut, Huong Tran, Vincent Vanhoucke, Quan Vuong, Ayzaan Wahid, Stefan Welker, Paul Wohlhart, Jialin Wu, Fei Xia, Ted Xiao, Peng Xu, Sichun Xu, Tianhe Yu, Brianna Zitkovich",Industry,"United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational,Canada,France",SOTA improvement
AudioLM,Google,2023-07-26,Audio,speculative,https://arxiv.org/abs/2209.03143,AudioLM: a Language Modeling Approach to Audio Generation,"Zalán Borsos, Raphaël Marinier, Damien Vincent, Eugene Kharitonov, Olivier Pietquin, Matt Sharifi, Dominik Roblek, Olivier Teboul, David Grangier, Marco Tagliasacchi, Neil Zeghidour",Industry,United States of America,SOTA improvement
Llama 2-70B,Meta AI,2023-07-18,Language,confident,"https://ai.meta.com/research/publications/llama-2-open-foundation-and-fine-tuned-chat-models/
https://arxiv.org/abs/2307.09288",Llama 2: Open Foundation and Fine-Tuned Chat Models,"Hugo Touvron, Louis Martin, Kevin Stone, Peter Albert, Amjad Almahairi, Yasmine Babaei, Nikolay Bashlykov, Soumya Batra, Prajjwal Bhargava, Shruti Bhosale, Dan Bikel, Lukas Blecher, Cristian Canton Ferrer, Moya Chen, Guillem Cucurull, David Esiobu, Jude Fernandes, Jeremy Fu, Wenyin Fu, Brian Fuller, Cynthia Gao, Vedanuj Goswami, Naman Goyal, Anthony Hartshorn, Saghar Hosseini, Rui Hou, Hakan Inan, Marcin Kardas, Viktor Kerkez, Madian Khabsa, Isabel Kloumann, Artem Korenev, Punit Singh Koura, Marie-Anne Lachaux, Thibaut Lavril, Jenya Lee, Diana Liskovich, Yinghai Lu, Yuning Mao, Xavier Martinet, Todor Mihaylov, Pushkar Mishra, Igor Molybog, Yixin Nie, Andrew Poulton, Jeremy Reizenstein, Rashi Rungta, Kalyan Saladi, Alan Schelten, Ruan Silva, Eric Michael Smith, Ranjan Subramanian, Xiaoqing Ellen Tan, Binh Tang, Ross Taylor, Adina Williams, Jian Xiang Kuan, Puxin Xu, Zheng Yan, Iliyan Zarov, Yuchen Zhang, Angela Fan, Melanie Kambadur, Sharan Narang, Aurelien Rodriguez, Robert Stojnic, Sergey Edunov, Thomas Scialom
",Industry,United States of America,"Historical significance,Significant use,Highly cited,Training cost"
Llama 2-7B,Meta AI,2023-07-18,Language,confident,https://ai.meta.com/research/publications/llama-2-open-foundation-and-fine-tuned-chat-models/,Llama 2: Open Foundation and Fine-Tuned Chat Models,"Hugo Touvron, Louis Martin, Kevin Stone, Peter Albert, Amjad Almahairi, Yasmine Babaei, Nikolay Bashlykov, Soumya Batra, Prajjwal Bhargava, Shruti Bhosale, Dan Bikel, Lukas Blecher, Cristian Canton Ferrer, Moya Chen, Guillem Cucurull, David Esiobu, Jude Fernandes, Jeremy Fu, Wenyin Fu, Brian Fuller, Cynthia Gao, Vedanuj Goswami, Naman Goyal, Anthony Hartshorn, Saghar Hosseini, Rui Hou, Hakan Inan, Marcin Kardas, Viktor Kerkez, Madian Khabsa, Isabel Kloumann, Artem Korenev, Punit Singh Koura, Marie-Anne Lachaux, Thibaut Lavril, Jenya Lee, Diana Liskovich, Yinghai Lu, Yuning Mao, Xavier Martinet, Todor Mihaylov, Pushkar Mishra, Igor Molybog, Yixin Nie, Andrew Poulton, Jeremy Reizenstein, Rashi Rungta, Kalyan Saladi, Alan Schelten, Ruan Silva, Eric Michael Smith, Ranjan Subramanian, Xiaoqing Ellen Tan, Binh Tang, Ross Taylor, Adina Williams, Jian Xiang Kuan, Puxin Xu, Zheng Yan, Iliyan Zarov, Yuchen Zhang, Angela Fan, Melanie Kambadur, Sharan Narang, Aurelien Rodriguez, Robert Stojnic, Sergey Edunov, Thomas Scialom
",Industry,United States of America,"Historical significance,Significant use,Highly cited"
Claude 2,Anthropic,2023-07-11,Language,speculative,"https://www.anthropic.com/index/claude-2, https://www-files.anthropic.com/production/images/Model-Card-Claude-2.pdf",Gemini: A Family of Highly Capable Multimodal Models,Gemini Team,Industry,United States of America,Historical significance
xTrimoPGLM -100B,"Tsinghua University,BioMap Research",2023-07-06,Biology,confident,https://www.biorxiv.org/content/10.1101/2023.07.05.547496v4,xTrimoPGLM: Unified 100B-Scale Pre-trained Transformer for Deciphering the Language of Protein,"Bo Chen, Xingyi Cheng, Yangli-ao Geng, Shen Li, Xin Zeng, Boyan Wang, Jing Gong, Chiming Liu, Aohan Zeng, Yuxiao Dong, Jie Tang, Le Song","Academia,Industry","China,China","SOTA improvement,Training cost"
InternLM,"Shanghai AI Lab,SenseTime",2023-07-06,Language,confident,https://internlm.org/,Gemini: A Family of Highly Capable Multimodal Models,Gemini Team,"Academia,Industry","China,Hong Kong,China",SOTA improvement
Pangu-Weather,Huawei,2023-07-05,Earth science,confident,"https://www.nature.com/articles/s41586-023-06185-3, https://www.huaweicloud.com/intl/en-us/news/20230707180809498.html,
https://www.huawei.com/en/news/2023/7/pangu-ai-model-nature-publish",Accurate medium-range global weather forecasting with 3D neural networks,"Kaifeng Bi, Lingxi Xie, Hengheng Zhang, Xin Chen, Xiaotao Gu, Qi Tian",Industry,China,SOTA improvement
Stable Diffusion XL (SDXL),Stability AI,2023-07-04,Image generation,speculative,https://arxiv.org/abs/2307.01952,SDXL: Improving Latent Diffusion Models for High-Resolution Image Synthesis,"Dustin Podell, Zion English, Kyle Lacey, Andreas Blattmann, Tim Dockhorn, Jonas Müller, Joe Penna, Robin Rombach",Industry,"Multinational,United Kingdom of Great Britain and Northern Ireland",Significant use
HyenaDNA,"Stanford University,Harvard University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal",2023-06-27,Biology,confident,https://arxiv.org/abs/2306.15794,HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,"Eric Nguyen, Michael Poli, Marjan Faizi, Armin W. Thomas, Callum Birch Sykes, Michael Wornow, Aman Patel, Clayton Rabideau, Stefano Massaroli, Yoshua Bengio, Stefano Ermon, Stephen A. Baccus, Christopher Ré","Academia,Academia,Academia,Academia","United States of America,United States of America,Canada,Canada",SOTA improvement
ERNIE 3.5,Baidu,2023-06-27,Language,confident,http://research.baidu.com/Blog/index-view?id=185,Introducing ERNIE 3.5: Baidu’s Knowledge-Enhanced Foundation Model Takes a Giant Leap Forward,Gemini Team,Industry,China,SOTA improvement
RoboCat,"Google DeepMind,Google",2023-06-20,Robotics,speculative,https://arxiv.org/abs/2306.11706,RoboCat: A Self-Improving Foundation Agent for Robotic Manipulation,"Konstantinos Bousmalis, Giulia Vezzani, Dushyant Rao, Coline Devin, Alex X. Lee, Maria Bauza, Todor Davchev, Yuxiang Zhou, Agrim Gupta, Akhil Raju, Antoine Laurens, Claudio Fantacci, Valentin Dalibard, Martina Zambelli, Murilo Martins, Rugile Pevceviciute, Michiel Blokzijl, Misha Denil, Nathan Batchelor, Thomas Lampe, Emilio Parisotto, Konrad Żołna, Scott Reed, Sergio Gómez Colmenarejo, Jon Scholz, Abbas Abdolmaleki, Oliver Groth, Jean-Baptiste Regli, Oleg Sushkov, Tom Rothörl, José Enrique Chen, Yusuf Aytar, Dave Barker, Joy Ortiz, Martin Riedmiller, Jost Tobias Springenberg, Raia Hadsell, Francesco Nori, Nicolas Heess","Industry,Industry","United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational,Canada,France,United States of America",SOTA improvement
MusicGen,Meta AI,2023-06-08,Audio,likely,https://arxiv.org/abs/2306.05284,Simple and Controllable Music Generation,"Jade Copet, Felix Kreuk, Itai Gat, Tal Remez, David Kant, Gabriel Synnaeve, Yossi Adi, Alexandre Défossez",Industry,United States of America,SOTA improvement
LTM-1,Magic,2023-06-06,Language,confident,https://magic.dev/blog/ltm-1,"LTM-1: an LLM with a 5,000,000 token context window",Gemini Team,Industry,United States of America,SOTA improvement
PaLI-X,Google Research,2023-05-29,"Multimodal,Language,Vision,Video",likely,https://arxiv.org/abs/2305.18565,PaLI-X: On Scaling up a Multilingual Vision and Language Model,"Xi Chen, Josip Djolonga, Piotr Padlewski, Basil Mustafa, Soravit Changpinyo, Jialin Wu, Carlos Riquelme Ruiz, Sebastian Goodman, Xiao Wang, Yi Tay, Siamak Shakeri, Mostafa Dehghani, Daniel Salz, Mario Lucic, Michael Tschannen, Arsha Nagrani, Hexiang Hu, Mandar Joshi, Bo Pang, Ceslee Montgomery, Paulina Pietrzyk, Marvin Ritter, AJ Piergiovanni, Matthias Minderer, Filip Pavetic, Austin Waters, Gang Li, Ibrahim Alabdulmohsin, Lucas Beyer, Julien Amelot, Kenton Lee, Andreas Peter Steiner, Yang Li, Daniel Keysers, Anurag Arnab, Yuanzhong Xu, Keran Rong, Alexander Kolesnikov, Mojtaba Seyedhosseini, Anelia Angelova, Xiaohua Zhai, Neil Houlsby, Radu Soricut",Industry,"Multinational,United States of America,Canada,Switzerland",SOTA improvement
Goat-7B,National University of Singapore,2023-05-23,Language,speculative,https://arxiv.org/abs/2305.14201,Goat: Fine-tuned LLaMA Outperforms GPT-4 on Arithmetic Tasks,"Tiedong Liu, Bryan Kian Hsiang Low",Academia,Singapore,SOTA improvement
CodeT5+,Salesforce,2023-05-20,Language,confident,https://arxiv.org/abs/2305.07922,CodeT5+: Open Code Large Language Models for Code Understanding and Generation,"Yue Wang, Hung Le, Akhilesh Deepak Gotmare, Nghi D.Q. Bui, Junnan Li, Steven C.H. Hoi",Industry,United States of America,SOTA improvement
ONE-PEACE,"Alibaba,Huazhong University of Science and Technology",2023-05-18,"Multimodal,Vision,Speech,Language",speculative,https://arxiv.org/abs/2305.11172v1,ONE-PEACE: Exploring One General Representation Model Toward Unlimited Modalities,"Peng Wang, Shijie Wang, Junyang Lin, Shuai Bai, Xiaohuan Zhou, Jingren Zhou, Xinggang Wang, Chang Zhou","Industry,Academia","China,China",SOTA improvement
LIMA,"Meta AI,Carnegie Mellon University (CMU),University of Southern California,Tel Aviv University",2023-05-18,Language,confident,https://arxiv.org/abs/2305.11206,LIMA: Less Is More for Alignment,"Chunting Zhou, Pengfei Liu, Puxin Xu, Srini Iyer, Jiao Sun, Yuning Mao, Xuezhe Ma, Avia Efrat, Ping Yu, Lili Yu, Susan Zhang, Gargi Ghosh, Mike Lewis, Luke Zettlemoyer, Omer Levy","Industry,Academia,Academia,Academia","United States of America,United States of America,United States of America,Israel",Highly cited
CoEdiT-xxl,"University of Minnesota,Grammarly",2023-05-17,Language,likely,"https://arxiv.org/abs/2305.09857, https://huggingface.co/grammarly/coedit-large",CoEdIT: Text Editing by Task-Specific Instruction Tuning,"Vipul Raheja, Dhruv Kumar, Ryan Koo, Dongyeop Kang","Academia,Industry","United States of America,United States of America",SOTA improvement
Med-PaLM 2,"Google Research,DeepMind",2023-05-16,"Medicine,Language",likely,https://arxiv.org/abs/2305.09617,Towards Expert-Level Medical Question Answering with Large Language Models,"Karan Singhal, Tao Tu, Juraj Gottweis, Rory Sayres, Ellery Wulczyn, Le Hou, Kevin Clark, Stephen Pfohl, Heather Cole-Lewis, Darlene Neal, Mike Schaekermann, Amy Wang, Mohamed Amin, Sami Lachgar, Philip Mansfield, Sushant Prakash, Bradley Green, Ewa Dominowska, Blaise Aguera y Arcas, Nenad Tomasev, Yun Liu, Renee Wong, Christopher Semturs, S. Sara Mahdavi, Joelle Barral, Dale Webster, Greg S. Corrado, Yossi Matias, Shekoofeh Azizi, Alan Karthikesalingam, Vivek Natarajan","Industry,Industry","Multinational,United States of America,Canada,Switzerland,United Kingdom of Great Britain and Northern Ireland",SOTA improvement
InstructBLIP,"Salesforce Research,Hong Kong University of Science and Technology (HKUST),Nanyang Technological University",2023-05-11,"Multimodal,Language,Vision",confident,https://arxiv.org/abs/2305.06500,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,"Wenliang Dai, Junnan Li, Dongxu Li, Anthony Meng Huat Tiong, Junqi Zhao, Weisheng Wang, Boyang Li, Pascale Fung, Steven Hoi","Industry,Academia,Academia","United States of America,Hong Kong,China,Singapore",SOTA improvement
PaLM 2,Google,2023-05-10,Language,likely,https://arxiv.org/abs/2305.10403,PaLM 2 Technical Report,"Andrew M. Dai, David R. So, Dmitry Lepikhin, Jonathan H. Clark, Maxim Krikun, Melvin Johnson, Nan Du, Rohan Anil, Siamak Shakeri, Xavier Garcia, Yanping Huang, Yi Tay, Yong Cheng, Yonghui Wu, Yuanzhong Xu, Yujing Zhang, Zachary Nado, Bryan Richter, Alex Polozov, Andrew Nystrom, Fangxiaoyu Feng, Hanzhao Lin, Jacob Austin, Jacob Devlin, Kefan Xiao, Orhan Firat, Parker Riley, Steven Zheng, Yuhuai Wu, Zhongtao Liu, Jiahui Yu, Guy Gur-Ari, Weikang Zhou, Sneha Kudugunta, Sunipa Dev, Frederick Liu, Gustavo Hernandez Abrego, Kelvin Xu, Abe Ittycheriah, Daniel Sohn, John Nham, Le Hou, Siyuan Qiao, Pidong Wang, Zirui Wang, Laurent El Shafey, Hyeontaek Lim, Marcello Maggioni, Michael Isard, Paul Barham, Qiao Zhang, Tao Wang, Yash Katariya, Aurko Roy, Benjamin Lee, Brennan Saeta, Ce Zheng, Hadi Hashemi, Junwhan Ahn, Rajkumar Samuel, Steven Hand, Zhifeng Chen, Kiran Vodrahalli, Aakanksha Chowdhery, Ethan Dyer, Emanuel Taropa, Vlad Feinberg, James Bradbury, Reiner Pope, Wei Li, YaGuang Li, Eric Chu, Jeffrey Hui, Joshua Howland, Vlad Fienber, Aroma Mahendru, Michele Catasta, Vedant Misra, Kevin Robinson, Maysam Moussalem, Sebastian Ruder, Erica Moreira, Eric Ni, Paige Bailey, Lucas Gonzalez, Alexandre Passos, Slav Petrov, Gaurav Mishra, Mark Omernick, Ambrose Slone, Andrea Hu, Colin Cherry, Denny Zhou, Jan Botha, John Wieting, Joshua Maynez, Kathleen Kenealy, Kevin Brooks, Linting Xue, Markus Freitag, Martin Polacek, Pengcheng Yin, Sebastian Gehrmann, Xuezhi Wang, Kathy Meier-Hellstern, Christopher A. Choquette-Choo, Daniel Smilkov, Emily Reif, Alicia Parrish, Alex Castro Ros, Clément Crepy, Dasha Valter, Jeremy Hurwitz, Katherine Lee, Mark Díaz, Marie Pellat, Matthew Jagielski, Renee Shelby, Shachi Dave",Industry,United States of America,"SOTA improvement,Training cost,Significant use,Highly cited"
StarCoder,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich",2023-05-09,Language,confident,https://arxiv.org/abs/2305.06161,StarCoder: may the source be with you!,"Raymond Li, Loubna Ben Allal, Yangtian Zi, Niklas Muennighoff, Denis Kocetkov, Chenghao Mou, Marc Marone, Christopher Akiki, Jia Li, Jenny Chim, Qian Liu, Evgenii Zheltonozhskii, Terry Yue Zhuo, Thomas Wang, Olivier Dehaene, Mishig Davaadorj, Joel Lamy-Poirier, João Monteiro, Oleh Shliazhko, Nicolas Gontier, Nicholas Meade, Armel Zebaze, Ming-Ho Yee, Logesh Kumar Umapathi, Jian Zhu, Benjamin Lipkin, Muhtasham Oblokulov, Zhiruo Wang, Rudra Murthy, Jason Stillerman, Siva Sankalp Patel, Dmitry Abulkhanov, Marco Zocca, Manan Dey, Zhihan Zhang, Nour Fahmy, Urvashi Bhattacharyya, Wenhao Yu, Swayam Singh, Sasha Luccioni, Paulo Villegas, Maxim Kunakov, Fedor Zhdanov, Manuel Romero, Tony Lee, Nadav Timor, Jennifer Ding, Claire Schlesinger, Hailey Schoelkopf, Jan Ebert, Tri Dao, Mayank Mishra, Alex Gu, Jennifer Robinson, Carolyn Jane Anderson, Brendan Dolan-Gavitt, Danish Contractor, Siva Reddy, Daniel Fried, Dzmitry Bahdanau, Yacine Jernite, Carlos Muñoz Ferrandis, Sean Hughes, Thomas Wolf, Arjun Guha, Leandro von Werra, Harm de Vries","Industry,Industry,Academia,Academia,Academia,Academia,Academia,Academia,Industry,Academia,Academia,Government,Government,Academia,Academia,Academia,Academia,Industry,Academia,Industry,Academia,Academia,Academia,Academia,Industry,Industry,Industry,Academia,Academia,Government,Academia,Research collective,Government","Multinational,United States of America,United States of America,United States of America,Canada,United States of America,United States of America,Germany,Germany,United Kingdom of Great Britain and Northern Ireland,United States of America,Singapore,Israel,Australia,Australia,Australia,Canada,United States of America,Canada,United States of America,Germany,United States of America,United States of America,Sweden,Multinational,Germany,United States of America,United States of America,United States of America,India,India,Multinational,Spain,United States of America,Israel,United Kingdom of Great Britain and Northern Ireland,United States of America,Multinational,United States of America,Germany",SOTA improvement
ImageBind,Meta AI,2023-05-09,"Multimodal,Vision,Audio,Language,Image generation,Speech",likely,"https://arxiv.org/abs/2305.05665, https://github.com/facebookresearch/ImageBind",IMAGEBIND: One Embedding Space To Bind Them All,"Rohit Girdhar, Alaaeldin El-Nouby, Zhuang Liu, Mannat Singh, Kalyan Vasudev Alwala, Armand Joulin, Ishan Misra",Industry,United States of America,SOTA improvement
Agile Soccer Robot,Google DeepMind,2023-04-26,Robotics,confident,https://arxiv.org/abs/2304.13653,Learning Agile Soccer Skills for a Bipedal Robot with Deep Reinforcement Learning,"Tuomas Haarnoja, Ben Moran, Guy Lever, Sandy H. Huang, Dhruva Tirumala, Markus Wulfmeier, Jan Humplik, Saran Tunyasuvunakool, Noah Y. Siegel, Roland Hafner, Michael Bloesch, Kristian Hartikainen, Arunkumar Byravan, Leonard Hasenclever, Yuval Tassa, Fereshteh Sadeghi, Nathan Batchelor, Federico Casarini, Stefano Saliceti, Charles Game, Neil Sreendra, Kushal Patel, Marlon Gwira, Andrea Huber, Nicole Hurley, Francesco Nori, Raia Hadsell, Nicolas Heess",Industry,"United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational,Canada,France",SOTA improvement
LLaVA,"University of Wisconsin Madison,Microsoft Research,Columbia University",2023-04-17,"Multimodal,Vision,Language",confident,https://arxiv.org/abs/2304.08485,Visual Instruction Tuning,"Haotian Liu, Chunyuan Li, Qingyang Wu, Yong Jae Lee","Academia,Industry,Academia","United States of America,United States of America,United Kingdom of Great Britain and Northern Ireland,United States of America",SOTA improvement
DINOv2,"Facebook AI Research,INRIA",2023-04-14,Vision,confident,https://arxiv.org/abs/2304.07193,DINOv2: Learning Robust Visual Features without Supervision,"Maxime Oquab, Timothée Darcet, Théo Moutakanni, Huy Vo, Marc Szafraniec, Vasil Khalidov, Pierre Fernandez, Daniel Haziza, Francisco Massa, Alaaeldin El-Nouby, Mahmoud Assran, Nicolas Ballas, Wojciech Galuba, Russell Howes, Po-Yao Huang, Shang-Wen Li, Ishan Misra, Michael Rabbat, Vasu Sharma, Gabriel Synnaeve, Hu Xu, Hervé Jegou, Julien Mairal, Patrick Labatut, Armand Joulin, Piotr Bojanowski","Industry,Academia","United States of America,France",SOTA improvement
Incoder-6.7B,"Facebook AI Research,University of Washington,University of California (UC) Berkeley,Carnegie Mellon University (CMU),Toyota Technological Institute at Chicago",2023-04-09,Language,confident,https://arxiv.org/abs/2204.05999,InCoder: A Generative Model for Code Infilling and Synthesis,"Daniel Fried, Armen Aghajanyan, Jessy Lin, Sida Wang, Eric Wallace, Freda Shi, Ruiqi Zhong, Wen-tau Yih, Luke Zettlemoyer, Mike Lewis","Industry,Academia,Academia,Academia,Academia","United States of America,United States of America,United States of America,United States of America,United States of America",SOTA improvement
Segment Anything Model,Meta AI,2023-04-05,Vision,confident,https://arxiv.org/abs/2304.02643,Segment Anything,"Alexander Kirillov, Eric Mintun, Nikhila Ravi, Hanzi Mao, Chloe Rolland, Laura Gustafson, Tete Xiao, Spencer Whitehead, Alexander C. Berg, Wan-Yen Lo, Piotr Dollár, Ross Girshick",Industry,United States of America,Highly cited
